B,M,N,K
16, 1, 1280, 8192
16, 32, 1280, 8192
16, 64, 1280, 8192
16, 128, 1280, 8192
16, 192, 1280, 8192
16, 256, 1280, 8192
16, 320, 1280, 8192
16, 512, 1280, 8192
16, 1024, 1280, 8192
16, 2048, 1280, 8192
16, 4096, 1280, 8192
16, 8192, 1280, 8192
16, 16384, 1280, 8192
16, 1, 8192, 1024
16, 32, 8192, 1024
16, 64, 8192, 1024
16, 128, 8192, 1024
16, 192, 8192, 1024
16, 256, 8192, 1024
16, 320, 8192, 1024
16, 512, 8192, 1024
16, 1024, 8192, 1024
16, 2048, 8192, 1024
16, 4096, 8192, 1024
16, 8192, 8192, 1024
16, 16384, 8192, 1024
