tile_m,tile_n,knl_name
112,128,fmoe_stage1_bf16_pertokenFp8_g1u1_112x128_pf2
80,128,fmoe_stage1_bf16_pertokenFp8_g1u1_80x128_2tg_pf2
64,128,fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf3
48,256,fmoe_stage1_bf16_pertokenFp8_g1u1_48x256_pf3
128,128,fmoe_stage1_bf16_pertokenFp8_g1u1_128x128_pf2
32,128,fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf3
16,512,fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_2tg_pf2
48,128,fmoe_stage1_bf16_pertokenFp8_g1u1_48x128_2tg_pf3
48,512,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf2
16,128,fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf2
16,256,fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_2tg_pf3
80,256,fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf2
16,256,fmoe_stage1_bf16_pertokenFp8_g1u1_16x256_3tg_pf2
96,128,fmoe_stage1_bf16_pertokenFp8_g1u1_96x128_pf3
64,256,fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf2
128,128,fmoe_stage1_bf16_pertokenFp8_g1u1_128x128_pf3
32,128,fmoe_stage1_bf16_pertokenFp8_g1u1_32x128_3tg_pf2
112,128,fmoe_stage1_bf16_pertokenFp8_g1u1_112x128_pf3
80,256,fmoe_stage1_bf16_pertokenFp8_g1u1_80x256_pf3
32,512,fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf3
48,128,fmoe_stage1_bf16_pertokenFp8_g1u1_48x128_2tg_pf2
96,128,fmoe_stage1_bf16_pertokenFp8_g1u1_96x128_pf2
144,128,fmoe_stage1_bf16_pertokenFp8_g1u1_144x128_pf2
160,128,fmoe_stage1_bf16_pertokenFp8_g1u1_160x128_pf3
32,256,fmoe_stage1_bf16_pertokenFp8_g1u1_32x256_2tg_pf2
16,512,fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3
48,256,fmoe_stage1_bf16_pertokenFp8_g1u1_48x256_pf2
64,128,fmoe_stage1_bf16_pertokenFp8_g1u1_64x128_2tg_pf2
144,128,fmoe_stage1_bf16_pertokenFp8_g1u1_144x128_pf3
48,512,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf3
32,256,fmoe_stage1_bf16_pertokenFp8_g1u1_32x256_2tg_pf3
80,128,fmoe_stage1_bf16_pertokenFp8_g1u1_80x128_pf3
32,512,fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf2
16,128,fmoe_stage1_bf16_pertokenFp8_g1u1_16x128_4tg_pf3
160,128,fmoe_stage1_bf16_pertokenFp8_g1u1_160x128_pf2
64,256,fmoe_stage1_bf16_pertokenFp8_g1u1_64x256_pf3
112,64,fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_2tg_pf2
112,64,fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_pf3
128,64,fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf2
128,64,fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf3
144,64,fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf2
144,64,fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf3
160,64,fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf2
160,64,fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf3
16,64,fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3
16,64,fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_6tg_pf2
32,64,fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf2
32,64,fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf3
48,64,fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf2
48,64,fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf3
64,64,fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_2tg_pf3
64,64,fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_3tg_pf2
80,64,fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf2
80,64,fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf3
96,64,fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_2tg_pf2
96,64,fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_pf3
